Rule_ID,Rule,Rule_Class,Evidence_Level,PR01,PR02,PR03,PR04,PR05,PR06,PR07,PR08,PR09,PR10,PR11,PR12,PR13,PR14,PR15,PR16,PR17,PR18,PR19,PR20,PR21,PR22,PR23,PR24,PR25,PR26,PR27,PR28,PR29,PR30,PR31,PR32,PR33,PR34,PR35,PR36,PR37,PR38,PR39,PR40,PR41,PR42,PR43,PR44,PR45,PR46,Deep_Audit_Finding,PR46_Action_Status
I14,Problem-Class Generalization,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,No unresolved issue from inspected evidence.,No action.
I15,External UI Handoff,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,No unresolved issue from inspected evidence.,No action.
I16,Approval-to-Execution Handoff,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,No unresolved issue from inspected evidence.,No action.
I17,Direct Destination + GitHub download trigger,Instructions kernel,mixed: PR43/44/45/46 diffs inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,weakened,weakened,missing,strengthened,Confirmed: PR43/PR44 narrowed generic Direct Destination while adding GitHub download wording; PR45 missed kernel/registry/test companions; PR46 repairs with thin-kernel trigger plus protocol/registry/testing.,PR46 has active trigger + registry owner-map + T35 + testing_protocol test; before merge run length/package/linter checks.
I18,Copy-Ready Actions,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,No unresolved issue from inspected evidence.,No action.
I19,Artifact Destination Contract,Instructions kernel,mixed: PR46 current branch inspected,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,Suspected compression risk in earlier PR46 wording was repaired: ChatGPT Project Knowledge/GitHub source file labels restored.,Preserve exact destination labels; report/audit files remain repo evidence only.
I20,Repo-only Controls Exclusion,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,No unresolved issue from inspected evidence.,No action.
I21,Codex/GitHub Direct Handoff,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,No unresolved issue from inspected evidence.,No action.
I22,Runtime Activation Check,Instructions kernel,mixed: PR46 current branch inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,added,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,Suspected compression risk repaired: old chat before update wording preserved.,No further change needed.
I23,Delegation Failure Reframe,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,No unresolved issue from inspected evidence.,No action.
I24,Evidence Claim and layer labels,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,No unresolved issue from inspected evidence.,No action.
I25,Verification Target,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,No unresolved issue from inspected evidence.,No action.
I26,Instruction Equivalence,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,added,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,PR46 preserved broad generic direct-link behavior while adding GitHub DL specifics.,No further change needed.
I27,Answer Preservation,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,No unresolved issue from inspected evidence.,No action.
I28,Rational Route,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,No unresolved issue from inspected evidence.,No action.
I29,Durable Ledger,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,No unresolved issue from inspected evidence.,No action.
I30,State Reconciliation,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,No unresolved issue from inspected evidence.,No action.
I31,Completion Ledger,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,No unresolved issue from inspected evidence.,No action.
I32,Activation Semantics,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,strengthened,not inspected,not inspected,not inspected,not inspected,not inspected,added,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,Manual review performed against current PR46 kernel wording; no broad new rule added to keep Instructions minimal.,No action.
I33,Plan/State Separation + Audit-only Before Patch,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,added,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,No unresolved issue from inspected evidence.,No action.
I34,Cost/Capability + Free-Route Fallback,Instructions kernel,mixed:not inspected unless explicit status shown,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,added,superseded,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,No unresolved issue from inspected evidence.,No action.
I35,No Secrets,Instructions kernel,mixed: PR46 current branch inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,added,not inspected,preserved,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,not inspected,preserved,Suspected compression risk repaired with compact but precise repo access/branch rules/visibility/account security wording.,No further kernel change needed unless validator flags.
